Wall time,Step,Value
1551663836.38821,16796,26.0
1551663955.7215567,16816,28.875
1551664195.8933146,16856,33.75
1551664315.7288818,16876,22.25
1551664436.0697224,16896,34.5
1551664556.2618477,16917,37.0
1551664796.6125457,16957,27.25
1551664915.8863535,16977,22.625
1551665035.4762018,16997,20.5
1551665155.5848136,17017,28.0
1551665396.4612863,17058,26.875
1551665636.1315908,17098,24.75
1551665875.495219,17138,39.625
1551665996.4173222,17158,42.0
1551666116.0390396,17179,28.0
1551666236.415838,17199,30.375
1551666356.1076276,17219,27.25
1551666835.8636403,17299,29.875
1551666955.793647,17319,24.625
1551667076.612445,17340,27.5
1551667196.7727466,17360,31.875
1551667316.0292737,17380,30.25
1551667555.5866673,17420,28.5
1551667675.8824487,17440,36.75
1551667796.3892062,17460,40.375
1551667916.2956226,17481,25.75
1551668036.3895798,17501,41.875
1551668155.8785667,17521,35.125
1551668275.7581747,17541,31.5
1551668395.890317,17561,33.75
1551668515.4893627,17581,43.0
1551668635.5113153,17601,25.875
1551668875.6218297,17641,32.375
1551668996.1966062,17661,36.875
1551669115.4991162,17681,30.75
1551669235.67224,17701,34.375
1551669355.7743983,17721,26.25
1551669476.3464022,17742,48.125
1551669596.8917723,17762,36.375
1551669716.1352663,17782,32.5
1551669835.8962867,17802,34.625
1551669955.848228,17822,40.5
1551670075.5068545,17842,27.25
1551670195.7783976,17862,31.0
1551670315.8408136,17882,25.0
1551670436.2085109,17903,41.375
1551670556.361091,17923,27.125
1551670676.2109332,17943,34.125
1551670796.254513,17963,25.625
1551671035.5904398,18003,30.625
1551671155.659754,18023,33.625
1551671275.4139283,18043,30.75
1551671395.9711518,18063,18.5
1551671515.5919669,18083,43.875
1551671635.912828,18103,34.25
1551671756.08905,18124,31.875
1551671876.296515,18144,32.125
1551671996.5487454,18164,29.25
1551672116.153761,18184,32.0
1551672235.934573,18204,34.0
1551672355.5833397,18224,40.375
1551672596.0137832,18264,29.5
1551672715.5788279,18284,29.125
1551672836.0944793,18305,23.75
1551672956.3034363,18325,43.5
1551673196.1041007,18365,38.875
1551673315.4880416,18385,30.25
1551673435.5388954,18405,26.25
1551673555.5477948,18425,43.0
1551673675.8760333,18445,26.0
1551673796.4992704,18466,31.75
1551674036.469021,18506,27.375
1551674156.3031683,18526,37.125
1551674395.8996022,18566,29.75
1551674515.58878,18586,22.125
1551674635.5563738,18606,44.25
1551674755.6615436,18626,51.0
1551674876.0687037,18647,39.25
1551674996.4048781,18667,31.375
1551675236.024943,18707,37.0
1551675475.6049812,18747,34.625
1551675835.5226583,18807,31.875
1551675955.8052382,18827,40.125
1551676075.725567,18847,33.75
1551676196.7362542,18867,22.875
1551676436.539859,18906,26.5
1551676555.8622005,18925,31.375
1551676676.385127,18945,23.875
1551676916.2300923,18984,31.875
1551677035.6566563,19003,32.5
1551677156.3719466,19023,22.25
1551677275.7396913,19042,20.75
1551677515.6931758,19081,28.125
1551677636.6491933,19101,34.875
1551677755.627695,19120,36.125
1551677876.69124,19140,29.75
1551677996.0292215,19159,27.25
1551678116.5014536,19179,36.0
1551678235.6967728,19198,27.375
1551678356.5062647,19218,25.5
1551678476.8002868,19237,21.0
1551678596.340552,19256,30.625
1551678715.6463914,19276,37.375
1551678835.944264,19296,24.5
1551679076.3474367,19336,27.375
1551679315.6933382,19375,29.5
1551679436.2587044,19395,38.375
1551679675.9791708,19434,24.75
1551679795.9907026,19454,34.125
1551679915.9212995,19474,36.5
1551680036.318831,19494,28.125
1551680156.3907506,19514,35.25
1551680275.9608266,19533,35.125
1551680396.153067,19553,21.375
1551680515.8519256,19573,33.125
1551680636.313349,19593,28.25
1551680756.3769479,19613,33.625
1551680876.0790725,19632,25.875
1551680996.161431,19652,34.375
1551681236.4749775,19692,26.5
1551681355.7913232,19711,42.625
1551681475.4513276,19731,25.0
1551681596.2102742,19751,34.5
1551681716.371679,19771,38.375
1551681836.3371365,19791,38.5
1551682075.6271083,19830,34.375
1551682316.278269,19870,34.125
1551682436.615381,19890,35.0
1551682675.8970764,19929,34.625
1551682796.02107,19949,28.875
1551683035.9945529,19989,28.25
1551683156.4356244,20009,27.125
1551683276.3023717,20029,33.375
1551683396.5440688,20048,30.5
1551683635.843335,20088,27.375
1551683756.132172,20108,41.0
1551683876.1990242,20128,28.5
1551684115.9306567,20167,35.375
1551684235.534928,20187,34.875
1551684355.7005281,20207,34.25
1551684476.0190318,20227,33.625
1551684716.5400026,20267,37.625
1551684836.514663,20287,22.375
1551684956.2008097,20307,35.0
1551685075.9120605,20326,25.0
1551685315.7943096,20366,32.625
1551685436.0165591,20386,28.125
1551685556.221572,20406,25.625
1551685676.434642,20426,26.25
1551685796.7923002,20446,33.625
1551685916.202947,20466,33.0
1551686036.0991619,20485,21.25
